symbol,type,strike,cycle,from,to,multiple,start,end,bars,dte_at_low,stock_1h_before,moneyness_at_low
IEX,CALL,180.0,202503,0.2,1.05,5.25,2025-03-27 12:30:00,2025-03-27 13:45:00,5,0,0.07302960507835632,-1.0333333333333417
TECHM,CALL,1620.0,202601,9.35,49.0,5.240641711229947,2025-12-26 10:30:00,2026-01-07 10:45:00,29,34,-0.3872157344806393,0.043209876543204295
LUPIN,CALL,1920.0,202506,2.1,11.0,5.238095238095238,2025-06-26 13:30:00,2025-06-26 14:30:00,4,0,-0.10930668332292948,-0.015624999999996891
INDIGO,CALL,4150.0,202604,42.6,221.75,5.205399061032864,2026-03-27 10:45:00,2026-04-01 14:45:00,3,34,-0.27306697326819895,0.32289156626506
RBLBANK,CALL,215.0,202505,0.25,1.3,5.2,2025-05-29 12:15:00,2025-05-29 13:30:00,5,0,-0.023447758394301577,-0.8418604651162842
CAMS,CALL,3800.0,202510,26.2,135.75,5.181297709923665,2025-09-26 14:45:00,2025-10-07 12:30:00,58,34,-0.20305233510186094,0.23947368421053383
EXIDEIND,CALL,300.0,202604,2.85,14.7,5.157894736842104,2026-03-27 15:00:00,2026-04-01 09:15:00,1,34,-0.6760098928277003,0.40000000000000036
IREDA,CALL,140.0,202601,1.13,5.82,5.150442477876107,2025-12-29 09:15:00,2025-12-31 13:45:00,11,31,-0.4452296819787982,0.6214285714285728
WIPRO,CALL,250.0,202505,0.35,1.8,5.142857142857143,2025-05-29 09:45:00,2025-05-29 12:15:00,10,0,0.5535129893741608,-0.44800000000000395
MCX,CALL,11000.0,202601,82.55,424.0,5.136281041792853,2025-12-26 15:15:00,2026-01-01 10:45:00,6,34,0.3177485247390033,0.454545454545463
GLENMARK,CALL,1500.0,202503,0.4,2.05,5.124999999999999,2025-03-27 12:30:00,2025-03-27 14:15:00,6,0,0.4582055860651524,-0.6100000000000105
TRENT,CALL,5600.0,202505,10.4,52.5,5.0480769230769225,2025-05-29 11:15:00,2025-05-29 12:15:00,3,0,-0.6221109142499293,-0.08928571428571397
SRF,CALL,2500.0,202604,20.45,103.1,5.041564792176039,2026-03-27 14:15:00,2026-04-01 09:45:00,3,34,0.31611380096834285,0.27999999999999137
HCLTECH,CALL,1620.0,202503,1.6,8.0,5.0,2025-03-27 13:30:00,2025-03-27 14:45:00,5,0,-0.046274872744100914,-0.024691358024697685
YESBANK,CALL,21.0,202510,0.2,1.0,5.0,2025-09-26 11:45:00,2025-10-01 11:45:00,23,34,-0.3312825366777128,0.28571428571428914
IREDA,CALL,175.0,202505,0.4,2.0,5.0,2025-05-29 09:30:00,2025-05-29 13:00:00,14,0,-0.028727377190473913,-0.49714285714286266
PGEL,CALL,560.0,202604,1.2,6.0,5.0,2026-04-28 13:45:00,2026-04-28 15:15:00,5,2,-0.10712372790573355,-0.08928571428571397
RBLBANK,CALL,250.0,202508,0.6,3.0,5.0,2025-08-28 12:30:00,2025-08-28 14:30:00,5,0,-0.2803364036844114,-0.40000000000000036
NATIONALUM,CALL,185.0,202507,0.2,1.0,5.0,2025-07-31 14:45:00,2025-07-31 15:00:00,1,0,-0.2644645941278112,0.01621621621621383
LODHA,CALL,1240.0,202507,2.8,14.0,5.0,2025-07-31 09:30:00,2025-07-31 12:45:00,6,0,-0.43569469097951563,-0.4838709677419395
TVSMOTOR,CALL,3480.0,202604,30.0,148.95,4.965,2026-03-27 09:30:00,2026-04-01 09:45:00,2,34,-1.7104855299123534,0.22988505747125743
OFSS,CALL,8100.0,202511,5.65,28.0,4.95575221238938,2025-11-25 14:00:00,2025-11-25 14:15:00,1,2,0.3591331269349851,0.049382716049373165
LODHA,CALL,1140.0,202510,9.8,48.4,4.938775510204081,2025-09-26 15:15:00,2025-10-01 09:30:00,3,34,0.2543413436239206,0.2719298245613899
DIXON,CALL,10100.0,202604,129.1,637.4,4.93725793958172,2026-03-27 14:00:00,2026-04-02 12:00:00,17,34,-0.22644481638278702,0.33663366336633693
VEDL,CALL,600.0,202601,4.4,21.6,4.909090909090909,2025-12-26 15:15:00,2025-12-31 15:15:00,1,34,-0.0400000000000067,0.16666666666667052
ANGELONE,CALL,235.0,202604,2.52,12.32,4.888888888888889,2026-03-27 14:00:00,2026-04-02 12:45:00,12,34,-0.10555203715432171,0.6808510638297793
COFORGE,CALL,1880.0,202506,2.25,10.75,4.777777777777778,2025-06-26 10:45:00,2025-06-26 13:30:00,10,0,0.0,-0.42553191489361764
IREDA,CALL,150.0,202507,0.45,2.15,4.777777777777778,2025-07-29 10:30:00,2025-07-30 12:45:00,34,2,-0.7250755287008914,-1.419999999999999
LODHA,CALL,1320.0,202504,3.25,15.5,4.769230769230769,2025-04-24 11:30:00,2025-04-24 13:00:00,6,0,-0.16745318922211094,-0.636363636363646
POWERINDIA,CALL,35500.0,202605,105.0,500.15,4.763333333333333,2026-05-26 13:30:00,2026-05-26 15:15:00,5,2,-0.9078212290502763,-0.07042253521126751
TMPV,CALL,680.0,202506,0.8,3.8,4.749999999999999,2025-06-26 10:45:00,2025-06-26 12:15:00,6,0,-0.13274336283185528,-0.4264705882352948
EXIDEIND,CALL,390.0,202510,2.75,13.0,4.7272727272727275,2025-09-26 14:15:00,2025-10-01 10:00:00,4,34,-0.7876016260162655,0.12820512820512775
INDIGO,CALL,5600.0,202510,31.3,147.7,4.718849840255591,2025-09-26 12:00:00,2025-10-01 14:45:00,9,34,0.03569516330537148,0.08928571428572507
INDIGO,CALL,5050.0,202601,30.9,145.25,4.700647249190939,2025-12-26 14:30:00,2025-12-31 14:30:00,15,34,0.009890218573826992,0.11881188118811892
GRASIM,CALL,2600.0,202604,22.0,103.4,4.7,2026-03-27 11:45:00,2026-04-07 13:45:00,26,34,-0.4616558565432971,0.3423076923076973
TORNTPOWER,CALL,1320.0,202507,2.25,10.55,4.688888888888889,2025-07-31 14:15:00,2025-07-31 14:30:00,1,0,-0.4391278013325173,-0.37878787878787845
CAMS,CALL,4050.0,202504,5.0,23.4,4.68,2025-04-24 14:00:00,2025-04-24 14:45:00,2,0,-0.37550015389350433,-0.22222222222222365
