exit,signal,trades,net_mean,net_median,win_rate,day_t,days,first_half,second_half
"target 1.5x, stop 0.6x","call, OI up + premium up",31173,0.797175346792758,0.7547548480463098,0.1679658678985019,-41.12588131255742,317,0.8075887294035408,0.7857305127093166
"target 2x, stop 0.6x",baseline: any liquid bar,423954,0.793996533546399,0.7475014080312867,0.1629233360223043,-40.98244065659034,349,0.7923505090134106,0.795577822115994
"target 2x, stop 0.6x","call, stock 25-bar breakout",18767,0.7933022414908136,0.753115481171548,0.16667554750359673,-40.927043883570065,341,0.7906470016530739,0.7960028578477064
"target 2x, stop 0.6x","call, EMA20 pullback in trend",96964,0.7912612878517633,0.7427268249432395,0.16105977476176725,-38.56651309577019,341,0.7849415930487774,0.7981549552808958
"target 2x, stop 0.6x","call, breakout + volume surge",11042,0.7907202959875433,0.7439619745876265,0.16138380728128962,-40.3389007542357,340,0.7881602879942371,0.7932793767776646
"target 2x, stop 0.6x","call, OI +20% over a day",80962,0.7907085419574487,0.7469751496437448,0.16433635532719054,-33.97062348002995,321,0.7939994343668765,0.7871978814796304
"target 3x, stop 0.7x","call, low IV rank + breakout",1383,0.785741193199902,0.6961135909090909,0.12581344902386118,-24.30550974151299,212,0.7768493768233675,0.7945689474987957
hold 2 sessions,"call, 14+ DTE + breakout",9599,0.785214994086085,0.8322815208721084,0.1768934263985832,-6.334122007825429,168,0.7975457441890038,0.773672636032909
hold 2 sessions,"call, under Rs 3 + momentum",5281,0.78327584407607,0.7398580645161289,0.18841128574133686,-9.240234000004973,332,0.7749208907379816,0.7941296450167992
"target 3x, stop 0.7x","call, under Rs 3 + momentum",5281,0.7805111924058025,0.6648,0.12668055292558228,-27.344887722452203,332,0.7835922620688495,0.7765086186685219
"target 2x, stop 0.6x","call, OI up + premium up",31173,0.7801238699293483,0.7361879194630871,0.1452539056234562,-38.89366109846337,317,0.7842136314544713,0.7756290151981479
hold 2 sessions,baseline: any liquid bar,423954,0.7733976256289431,0.7907705974926362,0.16947593370978928,0.9449982958502622,349,0.7742834974412216,0.772546593980988
"target 2x, stop 0.6x","call, low IV rank + breakout",1383,0.7681142912264156,0.5978392768906298,0.1576283441793203,-21.17681539042169,212,0.7571184670995682,0.7790308947183437
hold 2 sessions,"call, EMA20 pullback in trend",96964,0.7619722805873509,0.790412332905051,0.16955777401922362,-17.20281630773101,341,0.7494154062714327,0.7756696058826261
hold 2 sessions,"call, stock +1% in an hour",28725,0.7603658166120787,0.796023222060958,0.1799129677980853,-12.939095358838665,341,0.7511777797330399,0.7675585120661077
hold 2 sessions,"call, stock +3% in a day",28642,0.759073342182035,0.8081445255381765,0.17868863906151805,-20.08116000675499,323,0.7502934414875264,0.7656337645334675
hold 2 sessions,"call, stock 25-bar breakout",18767,0.7565208278462012,0.7941148825065273,0.1735493152874727,-14.020494713341746,341,0.7488109842317918,0.7643624282463686
hold 2 sessions,"call, breakout + volume surge",11042,0.7550922417744466,0.7868175827572271,0.16817605506248867,-12.137560201182858,340,0.7493782180148639,0.7608041959854017
hold 2 sessions,"call, OI +20% over a day",80962,0.7468325213877127,0.7864097560975611,0.1670783824510264,-25.768443708381177,321,0.7381004580240926,0.7561477179747067
hold 2 sessions,"call, low IV rank + breakout",1383,0.7450294523159864,0.767076923076923,0.17715112075198844,-16.057779296706908,212,0.7220802724673411,0.7678132922521772
hold 2 sessions,"call, OI up + premium up",31173,0.7401847168878788,0.7802820648259302,0.1515734770474449,-23.00963215231766,317,0.7335518858476529,0.7474745336166222
